station_na,lng,lat,f1,line,f2,f3,geometry,Cement,Steel,Gravel,Sand,Asphalt,Copper,Total
五根松,104.081369,30.502041,0,1号线,1,0,POINT (11586004.08465735 3568565.113269164),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
广都,104.07571300000001,30.510752,0,1号线,1,0,POINT (11585375.19329157 3569690.962508653),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
四河,104.070125,30.516133,1,1号线,1,0,POINT (11584754.05673055 3570386.892250534),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
华府大道,104.069836,30.525746,0,1号线,1,0,POINT (11584721.89020798 3571628.822980828),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
天府五街,104.06951,30.537107000000002,0,1号线,1,0,POINT (11584685.60340121 3573096.723918375),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
天府三街,104.069204,30.546203000000002,0,1号线,1,0,POINT (11584651.55125924 3574272.0947534),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
世纪城,104.06893000000001,30.55487,0,1号线,1,0,POINT (11584621.05790846 3575392.121035701),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
锦城广场,104.066528,30.567721999999996,0,1号线,1,0,POINT (11584354.07826148 3577053.490141702),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
孵化园,104.064313,30.575872999999998,0,1号线,1,0,POINT (11584107.92997691 3578107.417175637),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
金融城,104.06414699999999,30.582579,0,1号线,1,0,POINT (11584089.45290942 3578974.25451493),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
高新,104.063847,30.594368,0,1号线,1,0,POINT (11584056.06265725 3580498.269258214),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
火车南站,104.06739300000001,30.605459000000003,1,1号线,1,0,POINT (11584450.00331521 3581931.48465544),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
桐梓林,104.067115,30.615309999999997,0,1号线,1,0,POINT (11584419.06215576 3583205.227853613),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
倪家桥,104.066885,30.624772999999998,0,1号线,1,0,POINT (11584393.45699268 3584428.90713695),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
省体育馆,104.06660600000001,30.633360999999997,1,1号线,1,0,POINT (11584362.41189367 3585539.545885257),210554.7,16278.17,678.9,4366.0,3037.44,4.54,218642
